SID	Run	Trial	Stage	Expression	Decision	Time
101	2	27	2	3	None	1414017756.7
101	2	27	2	3	None	1414017756.75
101	2	27	2	3	None	1414017756.78
101	2	27	2	3	None	1414017756.81
101	2	27	2	3	None	1414017756.84
101	2	27	2	3	None	1414017756.87
101	2	27	2	3	None	1414017756.9
101	2	27	2	3	None	1414017756.96
101	2	27	2	3	None	1414017757
101	2	27	2	3	None	1414017757.04
101	2	27	2	3	None	1414017757.07
101	2	27	2	3	None	1414017757.1
101	2	27	2	3	None	1414017757.14
101	2	27	2	3	None	1414017757.18
101	2	27	2	3	None	1414017757.21
101	2	27	2	3	None	1414017757.24
101	2	27	2	3	None	1414017757.27
101	2	27	2	3	None	1414017757.3
101	2	27	2	3	None	1414017757.33
101	2	27	2	3	None	1414017757.37
101	2	27	2	3	None	1414017757.4
101	2	27	2	3	None	1414017757.44
101	2	27	2	3	None	1414017757.47
101	2	27	2	3	None	1414017757.5
101	2	27	2	3	None	1414017757.53
101	2	27	2	3	None	1414017757.56
101	2	27	2	3	None	1414017757.59
101	2	27	2	3	None	1414017757.63
101	2	27	2	3	None	1414017757.66
101	2	27	2	3	None	1414017757.7
101	2	27	2	3	None	1414017757.73
101	2	27	2	3	None	1414017757.77
101	2	27	2	3	None	1414017757.8
101	2	27	2	3	None	1414017757.83
101	2	27	2	3	None	1414017757.87
101	2	27	2	3	None	1414017757.9
101	2	27	2	3	None	1414017757.93
101	2	27	2	3	None	1414017757.97
101	2	27	2	3	None	1414017758
101	2	27	2	3	None	1414017758.03
101	2	27	2	3	None	1414017758.06
101	2	27	2	3	None	1414017758.1
101	2	27	2	3	None	1414017758.13
101	2	27	2	3	None	1414017758.16
101	2	27	2	3	None	1414017758.19
101	2	27	2	3	None	1414017758.23
101	2	27	2	3	None	1414017758.26
101	2	27	2	3	None	1414017758.29
101	2	27	2	3	None	1414017758.33
101	2	27	2	3	None	1414017758.36
101	2	27	2	3	None	1414017758.39
101	2	27	2	3	None	1414017758.42
101	2	27	2	3	None	1414017758.46
101	2	27	2	3	None	1414017758.49
101	2	27	2	3	None	1414017758.52
101	2	27	2	3	None	1414017758.56
101	2	27	2	3	None	1414017758.59
101	2	27	2	3	None	1414017758.62
101	2	27	2	3	None	1414017758.65
101	2	27	2	3	None	1414017758.69
101	2	27	2	3	None	1414017758.72
101	2	27	2	3	None	1414017758.75
101	2	27	2	3	None	1414017758.79
101	2	27	2	3	None	1414017758.82
101	2	27	2	3	None	1414017758.85
101	2	27	2	3	None	1414017758.89
101	2	27	2	3	None	1414017758.92
101	2	27	2	3	None	1414017758.96
101	2	27	2	3	None	1414017758.99
101	2	27	3	0	None	1414017759.02
101	2	27	3	0	None	1414017759.05
101	2	27	3	0	None	1414017759.09
101	2	27	3	0	None	1414017759.12
101	2	27	3	0	None	1414017759.15
101	2	27	3	0	None	1414017759.18
101	2	27	3	0	None	1414017759.21
101	2	27	3	0	None	1414017759.25
101	2	27	3	0	None	1414017759.28
101	2	27	3	0	None	1414017759.31
101	2	27	3	0	None	1414017759.34
101	2	27	3	0	None	1414017759.38
101	2	27	3	0	None	1414017759.41
101	2	27	3	0	None	1414017759.44
101	2	27	3	0	None	1414017759.47
101	2	27	3	0	None	1414017759.51
101	2	27	3	0	None	1414017759.55
101	2	27	3	0	None	1414017759.58
101	2	27	3	0	None	1414017759.61
101	2	27	3	0	None	1414017759.64
101	2	27	3	0	None	1414017759.68
101	2	27	3	0	None	1414017759.71
101	2	27	3	0	None	1414017759.75
101	2	27	3	0	None	1414017759.78
101	2	27	3	0	None	1414017759.81
101	2	27	3	0	None	1414017759.84
101	2	27	3	0	None	1414017759.88
101	2	27	3	0	None	1414017759.91
101	2	27	3	0	None	1414017759.94
101	2	27	3	0	None	1414017759.98
101	2	27	3	0	None	1414017760.01
101	2	27	3	0	None	1414017760.04
101	2	27	3	0	None	1414017760.07
101	2	27	3	0	None	1414017760.1
101	2	27	3	0	None	1414017760.14
101	2	27	3	0	None	1414017760.17
101	2	27	3	0	None	1414017760.21
101	2	27	3	0	None	1414017760.27
101	2	27	3	0	None	1414017760.3
101	2	27	3	0	None	1414017760.34
101	2	27	3	0	None	1414017760.37
101	2	27	3	0	None	1414017760.4
101	2	27	3	0	None	1414017760.43
101	2	27	3	0	None	1414017760.47
101	2	27	3	0	None	1414017760.5
101	2	27	3	0	None	1414017760.53
101	2	27	3	0	None	1414017760.56
101	2	27	3	0	None	1414017760.6
101	2	27	3	0	None	1414017760.63
101	2	27	3	0	None	1414017760.67
101	2	27	3	0	None	1414017760.7
101	2	27	3	0	None	1414017760.73
101	2	27	3	0	None	1414017760.77
101	2	27	3	0	None	1414017760.8
101	2	27	3	0	Right	1414017760.83
101	2	27	3	0	Right	1414017760.87
101	2	27	3	0	Right	1414017760.9
101	2	27	3	0	Right	1414017760.94
101	2	27	3	0	Right	1414017760.97
101	2	27	3	0	Right	1414017761
